Episode,Trough_Date,Maximum_Drawdown,Last_Drawdown_Date,Recovery_Date,Recovered,Recovery_Calendar_Days,Recovery_Trading_Days
1,1980-12-16,-0.12173925390603069,1980-12-19,1980-12-22,True,6.0,4.0
2,1982-07-08,-0.6944448554470238,1983-01-19,1983-01-20,True,196.0,137.0
3,1983-01-24,-0.056858866078375425,1983-01-25,1983-01-26,True,2.0,2.0
4,1983-01-31,-0.003048352584050118,1983-01-31,1983-02-01,True,1.0,1.0
5,1983-02-08,-0.061625903674162985,1983-02-09,1983-02-10,True,2.0,2.0
6,1983-02-17,-0.05375963866666367,1983-02-18,1983-02-22,True,5.0,2.0
7,1983-04-08,-0.18182045814241787,1983-04-19,1983-04-20,True,12.0,8.0
8,1983-05-03,-0.06730812342286929,1983-05-04,1983-05-05,True,2.0,2.0
9,1983-05-16,-0.06122480175760281,1983-05-19,1983-05-20,True,4.0,4.0
10,1983-05-31,-0.045452177089613355,1983-06-02,1983-06-03,True,3.0,3.0
11,1985-08-15,-0.7689249595574807,1987-02-13,1987-02-17,True,551.0,379.0
12,1987-02-20,-0.07721095431618896,1987-02-24,1987-02-25,True,5.0,3.0
13,1987-03-30,-0.10714251409580366,1987-04-01,1987-04-02,True,3.0,3.0
14,1987-04-13,-0.059236259003942804,1987-04-20,1987-04-21,True,8.0,5.0
15,1987-04-22,-0.006688626822822008,1987-04-22,1987-04-23,True,1.0,1.0
16,1987-04-24,-0.016448984525334387,1987-04-27,1987-04-28,True,4.0,2.0
17,1987-05-04,-0.0031252200080881254,1987-05-04,1987-05-05,True,1.0,1.0
18,1987-05-06,-0.0031150495477642037,1987-05-06,1987-05-07,True,1.0,1.0
19,1987-05-19,-0.0858380694353118,1987-06-15,1987-06-16,True,28.0,19.0
20,1987-06-17,-0.024097067709509257,1987-06-17,1987-06-18,True,1.0,1.0
21,1987-06-19,-0.012049741885786891,1987-06-19,1987-06-22,True,3.0,1.0
22,1987-06-23,-0.017856484866853317,1987-06-23,1987-06-24,True,1.0,1.0
23,1987-07-08,-0.11309615681031793,1987-07-13,1987-07-14,True,6.0,4.0
24,1987-08-03,-0.08522704698770578,1987-08-05,1987-08-06,True,3.0,3.0
25,1987-08-12,-0.015150234467181223,1987-08-14,1987-08-17,True,5.0,3.0
26,1987-08-18,-0.015150234467181223,1987-08-18,1987-08-19,True,1.0,1.0
27,1987-08-25,-0.01886695426341034,1987-08-28,1987-08-31,True,6.0,4.0
