Episode,Start_Date,Last_Drawdown_Date,Trading_Days_In_Drawdown,Maximum_Drawdown,Trough_Date,Calendar_Days_In_Drawdown,Ongoing
1,1980-12-15,1980-12-19,5,-0.12173925390603069,1980-12-16,4,False
2,1980-12-30,1983-01-19,521,-0.6944448554470238,1982-07-08,750,False
3,1983-01-24,1983-01-25,2,-0.056858866078375425,1983-01-24,1,False
4,1983-01-31,1983-01-31,1,-0.003048352584050118,1983-01-31,0,False
5,1983-02-04,1983-02-09,4,-0.061625903674162985,1983-02-08,5,False
6,1983-02-14,1983-02-18,5,-0.05375963866666367,1983-02-17,4,False
7,1983-02-25,1983-04-19,37,-0.18182045814241787,1983-04-08,53,False
8,1983-04-22,1983-05-04,9,-0.06730812342286929,1983-05-03,12,False
9,1983-05-09,1983-05-19,9,-0.06122480175760281,1983-05-16,10,False
10,1983-05-25,1983-06-02,6,-0.045452177089613355,1983-05-31,8,False
11,1983-06-07,1987-02-13,934,-0.7689249595574807,1985-08-15,1347,False
12,1987-02-18,1987-02-24,5,-0.07721095431618896,1987-02-20,6,False
13,1987-03-02,1987-04-01,23,-0.10714251409580366,1987-03-30,30,False
14,1987-04-06,1987-04-20,10,-0.059236259003942804,1987-04-13,14,False
15,1987-04-22,1987-04-22,1,-0.006688626822822008,1987-04-22,0,False
16,1987-04-24,1987-04-27,2,-0.016448984525334387,1987-04-24,3,False
17,1987-05-04,1987-05-04,1,-0.0031252200080881254,1987-05-04,0,False
18,1987-05-06,1987-05-06,1,-0.0031150495477642037,1987-05-06,0,False
19,1987-05-08,1987-06-15,26,-0.0858380694353118,1987-05-19,38,False
20,1987-06-17,1987-06-17,1,-0.024097067709509257,1987-06-17,0,False
21,1987-06-19,1987-06-19,1,-0.012049741885786891,1987-06-19,0,False
22,1987-06-23,1987-06-23,1,-0.017856484866853317,1987-06-23,0,False
23,1987-06-25,1987-07-13,12,-0.11309615681031793,1987-07-08,18,False
24,1987-07-17,1987-08-05,14,-0.08522704698770578,1987-08-03,19,False
25,1987-08-12,1987-08-14,3,-0.015150234467181223,1987-08-12,2,False
26,1987-08-18,1987-08-18,1,-0.015150234467181223,1987-08-18,0,False
27,1987-08-24,1987-08-28,5,-0.01886695426341034,1987-08-25,4,False
28,1987-09-01,1987-09-10,7,-0.07638826795891407,1987-09-08,9,False
29,1987-09-14,1987-09-22,7,-0.07798077446176988,1987-09-21,8,False
30,1987-09-28,1987-09-30,3,-0.05217428570801175,1987-09-29,2,False
31,1987-10-06,1991-02-04,843,-0.5654609592052335,1990-10-16,1217,False
32,1991-02-06,1991-02-06,1,-0.015150556714777497,1991-02-06,0,False
33,1991-02-12,1991-03-04,14,-0.06924544424588186,1991-02-14,20,False
34,1991-03-06,1991-03-06,1,-0.001979322751367696,1991-03-06,0,False
35,1991-03-08,1991-03-15,6,-0.06505448920485213,1991-03-12,7,False
36,1991-03-20,1991-03-25,4,-0.08992877243387032,1991-03-22,5,False
37,1991-03-27,1991-04-01,3,-0.028571272399617764,1991-03-28,5,False
38,1991-04-03,1999-09-01,2128,-0.8123952745713483,1997-12-23,3073,False
39,1999-09-08,1999-09-09,2,-0.02454950563872027,1999-09-08,1,False
40,1999-09-13,1999-09-13,1,-0.031476638415537606,1999-09-13,0,False
41,1999-09-15,1999-09-17,3,-0.031325055096106835,1999-09-15,2,False
42,1999-09-21,1999-10-28,28,-0.2529636101332141,1999-09-29,37,False
43,1999-11-01,1999-11-01,1,-0.031202209538453873,1999-11-01,0,False
44,1999-11-09,1999-11-29,14,-0.07198460974879672,1999-11-15,20,False
45,1999-12-08,2000-02-14,47,-0.25994618792331203,2000-01-12,68,False
46,2000-02-16,2000-02-29,9,-0.0724790078505243,2000-02-25,13,False
47,2000-03-02,2000-03-20,13,-0.12326151449016765,2000-03-14,18,False
48,2000-03-23,2005-01-25,1216,-0.8180144526316744,2003-04-17,1769,False
49,2005-02-03,2005-02-07,3,-0.022855504007423755,2005-02-03,4,False
50,2005-02-09,2005-02-10,2,-0.03139685375234691,2005-02-10,1,False
51,2005-02-17,2005-08-11,122,-0.24264903316690856,2005-05-12,175,False
52,2005-08-16,2005-09-02,14,-0.0406878188655827,2005-08-23,17,False
53,2005-09-07,2005-09-07,1,-0.0024591785347282125,2005-09-07,0,False
54,2005-09-13,2005-09-16,4,-0.034824803578833774,2005-09-14,3,False
55,2005-09-21,2005-09-22,2,-0.024253037380726483,2005-09-22,1,False
56,2005-09-27,2005-09-30,4,-0.05126304515450475,2005-09-28,3,False
57,2005-10-04,2005-10-18,11,-0.0953343686939514,2005-10-12,14,False
58,2005-10-21,2005-10-21,1,-0.008550613505099114,2005-10-21,0,False
59,2005-10-25,2005-10-25,1,-0.012150019591372296,2005-10-25,0,False
60,2005-10-27,2005-10-28,2,-0.044889100382064506,2005-10-28,1,False
61,2005-11-01,2005-11-01,1,-0.0015629087556938703,2005-11-01,0,False
62,2005-11-04,2005-11-14,7,-0.03152767235481335,2005-11-08,10,False
63,2005-11-17,2005-11-18,2,-0.006620043673387865,2005-11-17,1,False
64,2005-11-29,2005-11-30,2,-0.026413878343073183,2005-11-30,1,False
65,2005-12-05,2005-12-05,1,-0.01115246205292908,2005-12-05,0,False
66,2005-12-07,2005-12-07,1,-0.0013506530973412811,2005-12-07,0,False
67,2005-12-14,2006-01-05,15,-0.051613369628369266,2005-12-16,22,False
68,2006-01-09,2006-01-09,1,-0.0032772163103803598,2006-01-09,0,False
69,2006-01-17,2006-11-15,212,-0.40799162021787283,2006-07-14,302,False
70,2006-11-27,2006-11-27,1,-0.022809067254516924,2006-11-27,0,False
71,2006-11-29,2007-01-08,26,-0.11915913187613403,2006-12-28,40,False
72,2007-01-11,2007-01-12,2,-0.024536549331672708,2007-01-12,1,False
73,2007-01-17,2007-04-25,69,-0.14243036114170027,2007-02-09,98,False
74,2007-04-30,2007-05-01,2,-0.0045037990907519365,2007-05-01,1,False
75,2007-05-15,2007-05-16,2,-0.018470875166372247,2007-05-16,1,False
76,2007-05-23,2007-05-24,2,-0.02510123492639016,2007-05-24,1,False
77,2007-06-01,2007-06-01,1,-0.02302172147693793,2007-06-01,0,False
78,2007-06-11,2007-06-15,5,-0.0561487163318366,2007-06-13,4,False
79,2007-06-19,2007-07-02,10,-0.04348878372364173,2007-06-26,13,False
80,2007-07-06,2007-07-11,4,-0.018229859401343806,2007-07-09,5,False
81,2007-07-18,2007-07-18,1,-0.0056872755902439565,2007-07-18,0,False
82,2007-07-23,2007-07-25,3,-0.06163501031305618,2007-07-24,2,False
83,2007-07-27,2007-09-21,40,-0.19828756861868102,2007-08-16,56,False
84,2007-09-26,2007-09-26,1,-0.0026768748713993373,2007-09-26,0,False
