Month_Number,Month,Observations,Mean_Return,Median_Return,Std_Return
1,January,46,0.021682927063440324,0.014936062656827676,0.14886882072640698
2,February,46,0.0144798972786128,0.014786305647238152,0.10056465487197981
3,March,46,0.01583726243413709,-0.00635492611413685,0.10226331616019291
4,April,46,0.0365147009126062,0.017616103567493102,0.11116817721218068
5,May,46,0.01970876891346575,0.022538255029526,0.12056166995780383
6,June,46,-0.020105730778538576,-0.02876377665828611,0.11585171840408158
7,July,46,0.030313127924523318,0.027687345938963714,0.12673183865516657
8,August,45,0.05242397569698498,0.060005103049464825,0.10793349980040866
9,September,45,-0.03900664098654018,-0.024685587119466335,0.14551128738783958
10,October,45,0.06329767015457999,0.05786151835759101,0.14658172413697357
11,November,45,0.024088727497893144,0.021581218025218174,0.11336294057569019
12,December,45,0.007422324267986453,0.009350505832409706,0.11401903666275923
