Episode,Start_Date,Last_Drawdown_Date,Trading_Days_In_Drawdown,Maximum_Drawdown,Trough_Date,Calendar_Days_In_Drawdown,Ongoing
48,2000-03-23,2005-01-25,1216,-0.8180144526316744,2003-04-17,1769,False
38,1991-04-03,1999-09-01,2128,-0.8123952745713483,1997-12-23,3073,False
11,1983-06-07,1987-02-13,934,-0.7689249595574807,1985-08-15,1347,False
2,1980-12-30,1983-01-19,521,-0.6944448554470238,1982-07-08,750,False
94,2007-12-31,2009-10-20,456,-0.6086674479332669,2009-01-20,659,False
31,1987-10-06,1991-02-04,843,-0.5654609592052335,1990-10-16,1217,False
144,2012-09-20,2014-07-11,453,-0.43797153589757165,2013-04-19,659,False
69,2006-01-17,2006-11-15,212,-0.40799162021787283,2006-07-14,302,False
191,2018-10-04,2019-10-09,255,-0.3851591763166258,2019-01-03,370,False
252,2024-12-27,2025-10-17,202,-0.3336052559468633,2025-04-08,294,False
